"Series Code","Indicator Name",,,,"Source"
"DC.DAC.NZLL.CD","Net bilateral aid flows from DAC donors, New Zealand (current US$)",,,,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline."
"DC.DAC.POLL.CD","Net bilateral aid flows from DAC donors, Poland (current US$)",,,,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline."
"DC.DAC.PRTL.CD","Net bilateral aid flows from DAC donors, Portugal (current US$)",,,,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline."
"DC.DAC.SVKL.CD","Net bilateral aid flows from DAC donors, Slovak Republic (current US$)",,,,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline."
"DC.DAC.SVNL.CD","Net bilateral aid flows from DAC donors, Slovenia (current US$)",,,,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline."
"DC.DAC.SWEL.CD","Net bilateral aid flows from DAC donors, Sweden (current US$)",,,,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline."
"DC.DAC.TOTL.CD","Net bilateral aid flows from DAC donors, Total (current US$)",,,,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline."
"DC.DAC.USAL.CD","Net bilateral aid flows from DAC donors, United States (current US$)",,,,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline."
"DC.ODA.TLDC.CD","Net ODA provided, to the least developed countries (current US$)",,,,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline."
"DC.ODA.TLDC.GN.ZS","Net ODA provided to the least developed countries (% of GNI)",,,,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline."
"DC.ODA.TOTL.CD","Net ODA provided, total (current US$)",,,,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline."
"DC.ODA.TOTL.GN.ZS","Net ODA provided, total (% of GNI)",,,,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline."
"DC.ODA.TOTL.KD","Net ODA provided, total (constant 2015 US$)",,,,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline."
"DT.AMT.BLAT.CD","PPG, bilateral (AMT, current US$)",,,,"World Bank, International Debt Statistics."
"DT.AMT.BLTC.CD","PPG, bilateral concessional (AMT, current US$)",,,,"World Bank, International Debt Statistics."
"DT.AMT.DIMF.CD","IMF repurchases (AMT, current US$)",,,,"World Bank, International Debt Statistics."
"DT.AMT.DLTF.CD","Principal repayments on external debt, long-term + IMF (AMT, current US$)",,,,"World Bank, International Debt Statistics."
"DT.AMT.DLXF.CD","Principal repayments on external debt, long-term (AMT, current US$)",,,,"World Bank, International Debt Statistics."
"DT.AMT.DPNG.CD","Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",,,,"World Bank, International Debt Statistics."
"DT.AMT.DPPG.CD","Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",,,,"World Bank, International Debt Statistics."
"DT.AMT.MIBR.CD","PPG, IBRD (AMT, current US$)",,,,"World Bank, International Debt Statistics."
"DT.AMT.MIDA.CD","PPG, IDA (AMT, current US$)",,,,"World Bank, International Debt Statistics."
"DT.AMT.MLAT.CD","PPG, multilateral (AMT, current US$)",,,,"World Bank, International Debt Statistics."
"DT.AMT.MLTC.CD","PPG, multilateral concessional (AMT, current US$)",,,,"World Bank, International Debt Statistics."
