"Series Code","Indicator Name",,,,"Source"
"NE.GDI.TOTL.KD.ZG","Gross capital formation (annual % growth)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NE.GDI.TOTL.KN","Gross capital formation (constant LCU)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NE.GDI.TOTL.ZS","Gross capital formation (% of GDP)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NE.IMP.GNFS.CD","Imports of goods and services (current US$)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NE.IMP.GNFS.CN","Imports of goods and services (current LCU)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NE.IMP.GNFS.KD","Imports of goods and services (constant 2010 US$)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NE.IMP.GNFS.KD.ZG","Imports of goods and services (annual % growth)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NE.IMP.GNFS.KN","Imports of goods and services (constant LCU)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NE.IMP.GNFS.ZS","Imports of goods and services (% of GDP)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NE.RSB.GNFS.CD","External balance on goods and services (current US$)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NE.RSB.GNFS.CN","External balance on goods and services (current LCU)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NE.RSB.GNFS.KN","External balance on goods and services (constant LCU)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NE.RSB.GNFS.ZS","External balance on goods and services (% of GDP)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NE.TRD.GNFS.ZS","Trade (% of GDP)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NV.AGR.EMPL.KD","Agriculture, value added per worker (constant 2010 US$)",,,,"Derived using World Bank national accounts data and OECD National Accounts data files, and employment data from International Labour Organization, ILOSTAT database."
"NV.AGR.TOTL.CD","Agriculture, value added (current US$)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NV.AGR.TOTL.CN","Agriculture, value added (current LCU)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NV.AGR.TOTL.KD","Agriculture, value added (constant 2010 US$)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NV.AGR.TOTL.KD.ZG","Agriculture, value added (annual % growth)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NV.AGR.TOTL.KN","Agriculture, value added (constant LCU)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NV.AGR.TOTL.ZS","Agriculture, value added (% of GDP)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NV.FSM.TOTL.CN","Financial intermediary services indirectly Measured (FISIM) (current LCU)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NV.FSM.TOTL.KN","Financial intermediary services indirectly Measured (FISIM) (constant LCU)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NV.IND.EMPL.KD","Industry, value added per worker (constant 2010 US$)",,,,"Derived using World Bank national accounts data and OECD National Accounts data files, and employment data from International Labour Organization, ILOSTAT database."
"NV.IND.MANF.CD","Manufacturing, value added (current US$)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NV.IND.MANF.CN","Manufacturing, value added (current LCU)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NV.IND.MANF.KD","Manufacturing, value added (constant 2010 US$)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NV.IND.MANF.KD.ZG","Manufacturing, value added (annual % growth)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NV.IND.MANF.KN","Manufacturing, value added (constant LCU)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NV.IND.MANF.ZS","Manufacturing, value added (% of GDP)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NV.IND.TOTL.CD","Industry, value added (current US$)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NV.IND.TOTL.CN","Industry, value added (current LCU)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NV.IND.TOTL.KD","Industry, value added (constant 2010 US$)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NV.IND.TOTL.KD.ZG","Industry, value added (annual % growth)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NV.IND.TOTL.KN","Industry, value added (constant LCU)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NV.IND.TOTL.ZS","Industry, value added (% of GDP)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NV.MNF.CHEM.ZS.UN","Chemicals (% of value added in manufacturing)",,,,"United Nations Industrial Development Organization, International Yearbook of Industrial Statistics."
"NV.MNF.FBTO.ZS.UN","Food, beverages and tobacco (% of value added in manufacturing)",,,,"United Nations Industrial Development Organization, International Yearbook of Industrial Statistics."
"NV.MNF.MTRN.ZS.UN","Machinery and transport equipment (% of value added in manufacturing)",,,,"United Nations Industrial Development Organization, International Yearbook of Industrial Statistics."
"NV.MNF.OTHR.ZS.UN","Other manufacturing (% of value added in manufacturing)",,,,"United Nations Industrial Development Organization, International Yearbook of Industrial Statistics."
"NV.MNF.TECH.ZS.UN","Medium and high-tech industry (% manufacturing value added)",,,,"United Nations Industrial Development Organization (UNIDO), Competitive Industrial Performance (CIP) database"
"NV.MNF.TXTL.ZS.UN","Textiles and clothing (% of value added in manufacturing)",,,,"United Nations Industrial Development Organization, International Yearbook of Industrial Statistics."
"NV.SRV.EMPL.KD","Services, value added per worker (constant 2010 US$)",,,,"Derived using World Bank national accounts data and OECD National Accounts data files, and employment data from International Labour Organization, ILOSTAT database."
"NV.SRV.TOTL.KD","Services, value added (constant 2010 US$)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NV.SRV.TOTL.KD.ZG","Services, value added (annual % growth)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NV.SRV.TOTL.ZS","Services, value added (% of GDP)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.ADJ.AEDU.CD","Adjusted savings: education expenditure (current US$)",,,,"UNESCO; data are extrapolated to the most recent year available"
"NY.ADJ.AEDU.GN.ZS","Adjusted savings: education expenditure (% of GNI)",,,,"UNESCO; data are extrapolated to the most recent year available"
"NY.ADJ.DCO2.CD","Adjusted savings: carbon dioxide damage (current US$)",,,,"World Bank staff estimates based on sources and methods described in ""The Changing Wealth of Nations 2018: Building a Sustainable Future"" (Lange et al 2018)."
"NY.ADJ.DCO2.GN.ZS","Adjusted savings: carbon dioxide damage (% of GNI)",,,,"World Bank staff estimates based on sources and methods described in ""The Changing Wealth of Nations 2018: Building a Sustainable Future"" (Lange et al 2018)."
"NY.ADJ.DFOR.CD","Adjusted savings: net forest depletion (current US$)",,,,"World Bank staff estimates based on sources and methods described in ""The Changing Wealth of Nations 2018: Building a Sustainable Future"" (Lange et al 2018)."
"NY.ADJ.DFOR.GN.ZS","Adjusted savings: net forest depletion (% of GNI)",,,,"World Bank staff estimates based on sources and methods described in ""The Changing Wealth of Nations 2018: Building a Sustainable Future"" (Lange et al 2018)."
"NY.ADJ.DKAP.CD","Adjusted savings: consumption of fixed capital (current US$)",,,,"World Bank staff estimates based on sources and methods described in ""The Changing Wealth of Nations 2018: Building a Sustainable Future"" (Lange et al 2018)."
"NY.ADJ.DKAP.GN.ZS","Adjusted savings: consumption of fixed capital (% of GNI)",,,,"World Bank staff estimates based on sources and methods described in ""The Changing Wealth of Nations 2018: Building a Sustainable Future"" (Lange et al 2018)."
"NY.ADJ.DMIN.CD","Adjusted savings: mineral depletion (current US$)",,,,"World Bank staff estimates based on sources and methods described in ""The Changing Wealth of Nations 2018: Building a Sustainable Future"" (Lange et al 2018)."
"NY.ADJ.DMIN.GN.ZS","Adjusted savings: mineral depletion (% of GNI)",,,,"World Bank staff estimates based on sources and methods described in ""The Changing Wealth of Nations 2018: Building a Sustainable Future"" (Lange et al 2018)."
"NY.ADJ.DNGY.CD","Adjusted savings: energy depletion (current US$)",,,,"World Bank staff estimates based on sources and methods described in ""The Changing Wealth of Nations 2018: Building a Sustainable Future"" (Lange et al 2018)."
"NY.ADJ.DNGY.GN.ZS","Adjusted savings: energy depletion (% of GNI)",,,,"World Bank staff estimates based on sources and methods described in ""The Changing Wealth of Nations 2018: Building a Sustainable Future"" (Lange et al 2018)."
"NY.ADJ.DPEM.CD","Adjusted savings: particulate emission damage (current US$)",,,,"World Bank staff estimates based on sources and methods described in ""The Changing Wealth of Nations 2018: Building a Sustainable Future"" (Lange et al 2018)."
"NY.ADJ.DPEM.GN.ZS","Adjusted savings: particulate emission damage (% of GNI)",,,,"World Bank staff estimates based on sources and methods described in ""The Changing Wealth of Nations 2018: Building a Sustainable Future"" (Lange et al 2018)."
"NY.ADJ.DRES.GN.ZS","Adjusted savings: natural resources depletion (% of GNI)",,,,"World Bank staff estimates based on sources and methods described in ""The Changing Wealth of Nations 2018: Building a Sustainable Future"" (Lange et al 2018)."
"NY.ADJ.ICTR.GN.ZS","Adjusted savings: gross savings (% of GNI)",,,,"World Bank national accounts data files."
"NY.ADJ.NNAT.CD","Adjusted savings: net national savings (current US$)",,,,"World Bank staff estimates based on sources and methods described in ""The Changing Wealth of Nations 2018: Building a Sustainable Future"" (Lange et al 2018)."
"NY.ADJ.NNAT.GN.ZS","Adjusted savings: net national savings (% of GNI)",,,,"World Bank staff estimates based on sources and methods described in ""The Changing Wealth of Nations 2018: Building a Sustainable Future"" (Lange et al 2018)."
"NY.ADJ.NNTY.CD","Adjusted net national income (current US$)",,,,"World Bank staff estimates based on sources and methods described in ""The Changing Wealth of Nations 2018: Building a Sustainable Future"" (Lange et al 2018)."
"NY.ADJ.NNTY.KD","Adjusted net national income (constant 2010 US$)",,,,"World Bank staff estimates based on sources and methods described in ""The Changing Wealth of Nations 2018: Building a Sustainable Future"" (Lange et al 2018)."
"NY.ADJ.NNTY.KD.ZG","Adjusted net national income (annual % growth)",,,,"World Bank staff estimates based on sources and methods described in ""The Changing Wealth of Nations 2018: Building a Sustainable Future"" (Lange et al 2018)."
"NY.ADJ.NNTY.PC.CD","Adjusted net national income per capita (current US$)",,,,"World Bank staff estimates based on sources and methods in World Bank's ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (2011)."
"NY.ADJ.NNTY.PC.KD","Adjusted net national income per capita (constant 2010 US$)",,,,"World Bank staff estimates based on sources and methods in World Bank's ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (2011)."
"NY.ADJ.NNTY.PC.KD.ZG","Adjusted net national income per capita (annual % growth)",,,,"World Bank staff estimates based on sources and methods in World Bank's ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (2011)."
"NY.ADJ.SVNG.CD","Adjusted net savings, including particulate emission damage (current US$)",,,,"World Bank staff estimates based on sources and methods described in ""The Changing Wealth of Nations 2018: Building a Sustainable Future"" (Lange et al 2018)."
"NY.ADJ.SVNG.GN.ZS","Adjusted net savings, including particulate emission damage (% of GNI)",,,,"World Bank staff estimates based on sources and methods described in ""The Changing Wealth of Nations 2018: Building a Sustainable Future"" (Lange et al 2018)."
"NY.ADJ.SVNX.CD","Adjusted net savings, excluding particulate emission damage (current US$)",,,,"World Bank staff estimates based on sources and methods described in ""The Changing Wealth of Nations 2018: Building a Sustainable Future"" (Lange et al 2018)."
"NY.ADJ.SVNX.GN.ZS","Adjusted net savings, excluding particulate emission damage (% of GNI)",,,,"World Bank staff estimates based on sources and methods described in ""The Changing Wealth of Nations 2018: Building a Sustainable Future"" (Lange et al 2018)."
"NY.EXP.CAPM.KN","Exports as a capacity to import (constant LCU)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.GDP.COAL.RT.ZS","Coal rents (% of GDP)",,,,"World Bank staff estimates based on sources and methods described in ""The Changing Wealth of Nations 2018: Building a Sustainable Future"" (Lange et al 2018)."
"NY.GDP.DEFL.KD.ZG","Inflation, GDP deflator (annual %)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.GDP.DEFL.KD.ZG.AD","Inflation, GDP deflator: linked series (annual %)",,,,"World Bank staff estimates based on World Bank national accounts data archives, OECD National Accounts, and the IMF WEO database."
"NY.GDP.DEFL.ZS","GDP deflator (base year varies by country)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.GDP.DEFL.ZS.AD","GDP deflator: linked series (base year varies by country)",,,,"World Bank staff estimates based on World Bank national accounts data archives, OECD National Accounts, and the IMF WEO database."
"NY.GDP.DISC.CN","Discrepancy in expenditure estimate of GDP (current LCU)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.GDP.DISC.KN","Discrepancy in expenditure estimate of GDP (constant LCU)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.GDP.FCST.CD","Gross value added at factor cost (current US$)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.GDP.FCST.CN","Gross value added at factor cost (current LCU)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.GDP.FCST.KD","Gross value added at factor cost (constant 2010 US$)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.GDP.FCST.KN","Gross value added at factor cost (constant LCU)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.GDP.FRST.RT.ZS","Forest rents (% of GDP)",,,,"World Bank staff estimates based on sources and methods described in ""The Changing Wealth of Nations 2018: Building a Sustainable Future"" (Lange et al 2018)."
"NY.GDP.MINR.RT.ZS","Mineral rents (% of GDP)",,,,"World Bank staff estimates based on sources and methods described in ""The Changing Wealth of Nations 2018: Building a Sustainable Future"" (Lange et al 2018)."
"NY.GDP.MKTP.CD","GDP (current US$)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.GDP.MKTP.CN","GDP (current LCU)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.GDP.MKTP.CN.AD","GDP at market prices: linked series (current LCU)",,,,"World Bank staff estimates based on World Bank national accounts data archives, OECD National Accounts, and the IMF WEO database."
"NY.GDP.MKTP.KD","GDP (constant 2010 US$)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.GDP.MKTP.KD.ZG","GDP growth (annual %)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.GDP.MKTP.KN","GDP (constant LCU)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.GDP.MKTP.PP.CD","GDP, PPP (current international $)",,,,"World Bank, International Comparison Program database."
"NY.GDP.MKTP.PP.KD","GDP, PPP (constant 2011 international $)",,,,"World Bank, International Comparison Program database."
"NY.GDP.NGAS.RT.ZS","Natural gas rents (% of GDP)",,,,"World Bank staff estimates based on sources and methods described in ""The Changing Wealth of Nations 2018: Building a Sustainable Future"" (Lange et al 2018)."
"NY.GDP.PCAP.CD","GDP per capita (current US$)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.GDP.PCAP.CN","GDP per capita (current LCU)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.GDP.PCAP.KD","GDP per capita (constant 2010 US$)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.GDP.PCAP.KD.ZG","GDP per capita growth (annual %)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.GDP.PCAP.KN","GDP per capita (constant LCU)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.GDP.PCAP.PP.CD","GDP per capita, PPP (current international $)",,,,"World Bank, International Comparison Program database."
"NY.GDP.PCAP.PP.KD","GDP per capita, PPP (constant 2011 international $)",,,,"World Bank, International Comparison Program database."
"NY.GDP.PETR.RT.ZS","Oil rents (% of GDP)",,,,"World Bank staff estimates based on sources and methods described in ""The Changing Wealth of Nations 2018: Building a Sustainable Future"" (Lange et al 2018)."
"NY.GDP.TOTL.RT.ZS","Total natural resources rents (% of GDP)",,,,"World Bank staff estimates based on sources and methods described in ""The Changing Wealth of Nations 2018: Building a Sustainable Future"" (Lange et al 2018)."
"NY.GDS.TOTL.CD","Gross domestic savings (current US$)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.GDS.TOTL.CN","Gross domestic savings (current LCU)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.GDS.TOTL.ZS","Gross domestic savings (% of GDP)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.GDY.TOTL.KN","Gross domestic income (constant LCU)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.GNP.ATLS.CD","GNI, Atlas method (current US$)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.GNP.MKTP.CD","GNI (current US$)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.GNP.MKTP.CN","GNI (current LCU)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.GNP.MKTP.KD","GNI (constant 2010 US$)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.GNP.MKTP.KD.ZG","GNI growth (annual %)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.GNP.MKTP.KN","GNI (constant LCU)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.GNP.MKTP.PP.CD","GNI, PPP (current international $)",,,,"World Bank, International Comparison Program database."
"NY.GNP.MKTP.PP.KD","GNI, PPP (constant 2011 international $)",,,,"World Bank, International Comparison Program database."
"NY.GNP.PCAP.CD","GNI per capita, Atlas method (current US$)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.GNP.PCAP.CN","GNI per capita (current LCU)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.GNP.PCAP.KD","GNI per capita (constant 2010 US$)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.GNP.PCAP.KD.ZG","GNI per capita growth (annual %)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.GNP.PCAP.KN","GNI per capita (constant LCU)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.GNP.PCAP.PP.CD","GNI per capita, PPP (current international $)",,,,"World Bank, International Comparison Program database."
"NY.GNP.PCAP.PP.KD","GNI per capita, PPP (constant 2011 international $)",,,,"World Bank, International Comparison Program database."
"NY.GNS.ICTR.CD","Gross savings (current US$)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.GNS.ICTR.CN","Gross savings (current LCU)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.GNS.ICTR.GN.ZS","Gross savings (% of GNI)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.GNS.ICTR.ZS","Gross savings (% of GDP)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.GSR.NFCY.CD","Net income from abroad (current US$)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.GSR.NFCY.CN","Net income from abroad (current LCU)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.GSR.NFCY.KN","Net income from abroad (constant LCU)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.TAX.NIND.CD","Net taxes on products (current US$)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.TAX.NIND.CN","Net taxes on products (current LCU)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.TAX.NIND.KN","Net taxes on products (constant LCU)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.TRF.NCTR.CD","Net current transfers from abroad (current US$)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.TRF.NCTR.CN","Net current transfers from abroad (current LCU)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.TRF.NCTR.KN","Net current transfers from abroad (constant LCU)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"NY.TTF.GNFS.KN","Terms of trade adjustment (constant LCU)",,,,"World Bank national accounts data, and OECD National Accounts data files."
"PA.NUS.ATLS","DEC alternative conversion factor (LCU per US$)",,,,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates."
"PA.NUS.FCRF","Official exchange rate (LCU per US$, period average)",,,,"International Monetary Fund, International Financial Statistics."
"PA.NUS.PPP","PPP conversion factor, GDP (LCU per international $)",,,,"World Bank, International Comparison Program database."
"PA.NUS.PPP.05","2005 PPP conversion factor, GDP (LCU per international $)",,,,"World Bank, International Comparison Program database."
"PA.NUS.PPPC.RF","Price level ratio of PPP conversion factor (GDP) to market exchange rate",,,,"World Bank, International Comparison Program database."
"PA.NUS.PRVT.PP","PPP conversion factor, private consumption (LCU per international $)",,,,"World Bank, International Comparison Program database."
"PA.NUS.PRVT.PP.05","2005 PPP conversion factor, private consumption (LCU per international $)",,,,"World Bank, International Comparison Program database."
"per_allsp.adq_pop_tot","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)",,,,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)"
"per_allsp.ben_q1_tot","Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits)",,,,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)"
"per_allsp.cov_pop_tot","Coverage of social protection and labor programs (% of population)",,,,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)"
"per_lm_alllm.adq_pop_tot","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)",,,,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)"
"per_lm_alllm.ben_q1_tot","Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits)",,,,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)"
"per_lm_alllm.cov_pop_tot","Coverage of unemployment benefits and ALMP (% of population)",,,,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)"
"per_lm_alllm.cov_q1_tot","Coverage of unemployment benefits and ALMP in poorest quintile (% of population)",,,,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)"
"per_lm_alllm.cov_q2_tot","Coverage of unemployment benefits and ALMP in 2nd quintile (% of population)",,,,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)"
"per_lm_alllm.cov_q3_tot","Coverage of unemployment benefits and ALMP in 3rd quintile (% of population)",,,,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)"
"per_lm_alllm.cov_q4_tot","Coverage of unemployment benefits and ALMP in 4th quintile (% of population)",,,,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)"
"per_lm_alllm.cov_q5_tot","Coverage of unemployment benefits and ALMP in richest quintile (% of population)",,,,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)"
"per_sa_allsa.adq_pop_tot","Adequacy of social safety net programs (% of total welfare of beneficiary households)",,,,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)"
"per_sa_allsa.ben_q1_tot","Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits)",,,,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)"
"per_sa_allsa.cov_pop_tot","Coverage of social safety net programs (% of population)",,,,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)"
"per_sa_allsa.cov_q1_tot","Coverage of social safety net programs in poorest quintile (% of population)",,,,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)"
"per_sa_allsa.cov_q2_tot","Coverage of social safety net programs in 2nd quintile (% of population)",,,,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)"
"per_sa_allsa.cov_q3_tot","Coverage of social safety net programs in 3rd quintile (% of population)",,,,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)"
"per_sa_allsa.cov_q4_tot","Coverage of social safety net programs in 4th quintile (% of population)",,,,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)"
"per_sa_allsa.cov_q5_tot","Coverage of social safety net programs in richest quintile (% of population)",,,,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)"
"per_si_allsi.adq_pop_tot","Adequacy of social insurance programs (% of total welfare of beneficiary households)",,,,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)"
"per_si_allsi.ben_q1_tot","Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits)",,,,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)"
"per_si_allsi.cov_pop_tot","Coverage of social insurance programs (% of population)",,,,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)"
"per_si_allsi.cov_q1_tot","Coverage of social insurance programs in poorest quintile (% of population)",,,,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)"
"per_si_allsi.cov_q2_tot","Coverage of social insurance programs in 2nd quintile (% of population)",,,,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)"
"per_si_allsi.cov_q3_tot","Coverage of social insurance programs in 3rd quintile (% of population)",,,,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)"
"per_si_allsi.cov_q4_tot","Coverage of social insurance programs in 4th quintile (% of population)",,,,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)"
"per_si_allsi.cov_q5_tot","Coverage of social insurance programs in richest quintile (% of population)",,,,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)"
"PX.REX.REER","Real effective exchange rate index (2010 = 100)",,,,"International Monetary Fund, International Financial Statistics."
"SE.ADT.1524.LT.FE.ZS","Literacy rate, youth female (% of females ages 15-24)",,,,"UNESCO Institute for Statistics"
"SE.ADT.1524.LT.FM.ZS","Literacy rate, youth (ages 15-24), gender parity index (GPI)",,,,"UNESCO Institute for Statistics"
"SE.ADT.1524.LT.MA.ZS","Literacy rate, youth male (% of males ages 15-24)",,,,"UNESCO Institute for Statistics"
"SE.ADT.1524.LT.ZS","Literacy rate, youth total (% of people ages 15-24)",,,,"UNESCO Institute for Statistics"
"SE.ADT.LITR.FE.ZS","Literacy rate, adult female (% of females ages 15 and above)",,,,"UNESCO Institute for Statistics"
"SE.ADT.LITR.MA.ZS","Literacy rate, adult male (% of males ages 15 and above)",,,,"UNESCO Institute for Statistics"
